,GSM1377859,GSM1377860,GSM1377861,GSM1377862,GSM1377863,GSM1377864,GSM1377865,GSM1377866,GSM1377867,GSM1377868,GSM1377869,GSM1377870,GSM1377871,GSM1377872,GSM1377873,GSM1377874,GSM1377875,GSM1377876,GSM1377877,GSM1377878,GSM1377879,GSM1377880,GSM1377881,GSM1377882,GSM1377883,GSM1377884,GSM1377885,GSM1377886,GSM1377887,GSM1377888,GSM1377889,GSM1377890,GSM1377891,GSM1377892,GSM1377893,GSM1377894,GSM1377895,GSM1377896,GSM1377897,GSM1377898,GSM1377899,GSM1377900,GSM1377901,GSM1377902,GSM1377903,GSM1377904,GSM1377905,GSM1377906,GSM1377907
ENSMUSG00000076036,3905.4,2396.78,1825.74,2751.55,3922.36,5910.99,3731.6,1516.56,4143.78,3044.53,2138.09,1917.14,2076.18,2812.48,3904.46,2409.92,2137.83,3357.77,2911.97,6692.63,3874.54,1812.53,2794.17,4360.07,3351.67,3827.06,2884.8,2439.72,6313.27,5225.14,4526.28,1575.79,2749.9,4359.57,3592.04,2964.88,2550.83,3329.88,4248.83,5307.13,5241.34,5051.12,5539.19,3704.0,2731.3,5724.61,4143.79,6078.34,4887.32
ENSMUSG00000064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247837,0.0,9.92e-35,0.0,5.720000000000001e-05,8480.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14e-51,0.0,0.0,0.0
ENSMUSG00000064600,0.0,0.0,52.3935,0.0,0.0,0.0,220.092,0.0,0.0,751.076,889.456,984.52,217.06099999999998,1477.71,265.2,294.467,59.2331,1111.14,782.184,0.0,69.2059,48.2665,0.0,0.0,0.0,234.30599999999998,180.63099999999997,387.004,230.30900000000003,580.992,1388.52,1202.53,2165.9,2045.0,1992.02,2314.34,1562.27,2911.29,2107.41,2335.62,2958.78,3078.63,2244.62,2719.81,0.0,3376.32,2634.94,2872.0,3210.46
ENSMUSG00000064427,265.91900000000004,365.717,0.0,88.3,236.11,0.0,969.138,0.0,269.776,1923.3,1641.15,1424.96,1567.14,3061.73,2411.53,1753.03,1426.9,2416.18,1075.27,238.442,810.783,846.933,429.35,584.628,250.701,381.395,756.64,643.726,525.985,859.768,1352.42,2141.51,1887.31,2236.08,2309.3,1973.84,2027.82,3360.58,2527.97,2727.74,3067.88,3203.99,2140.89,1953.5,264.134,3311.07,2609.12,4060.71,3038.21
ENSMUSG00000065287,152.306,300.11,256.86400000000003,146.51,96.1408,0.0,1359.33,284.871,0.0,2143.78,1773.08,1680.35,1357.68,3006.5,2584.56,1128.27,1091.8,2255.37,1459.55,942.232,1375.56,1070.04,550.434,720.5930000000001,1526.2,204.734,930.056,1480.16,1948.6,639.178,1266.38,1395.47,1831.48,1044.87,2786.43,2392.34,1081.06,2805.2,3076.03,1843.54,1875.8,1489.14,1933.28,1342.94,1223.75,4570.69,3547.41,3288.93,3841.2
ENSMUSG00000087938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986.0,1540.69,1942.33,2829.11,2217.14,1910.14,308.198,2129.46,1814.37,1293.85,1533.2,403.175,1301.38,377.78,1781.79,1572.68,0.0,966.596,657.3789999999999,4452.47,1329.39,846.6039999999999,2741.75,1108.45,1014.48,0.0,492.402,1232.65,0.0,2630.71,1440.83,894.88,1264.17,2033.46,869.1519999999999,3135.61,1474.86,1848.9,426.843,3423.2
ENSMUSG00000079010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2868.74,1847.65,991.2280000000001,2429.02,3350.62,0.0,0.0,0.0,0.0,1211.19,0.0,2062.82,0.0,4734.3,1011.76,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000065208,440.749,410.43300000000005,987.7139999999999,556.76,423.583,602.54,1737.75,918.829,232.045,2381.71,2153.39,2067.4,854.738,3869.93,2840.61,2101.94,1185.92,2133.9,2089.05,955.184,684.6410000000001,987.824,1656.12,597.175,479.74,554.215,882.622,365.156,609.89,2064.9,984.062,1322.74,1085.84,3142.72,2087.98,2376.96,1396.51,3727.57,573.618,2658.43,1230.53,2346.08,1887.53,2026.62,0.0,1659.34,2147.78,3347.38,2377.34
ENSMUSG00000080461,272.95099999999996,0.0,146.373,0.0,0.0,0.0,0.0,168.15,406.486,244.563,336.235,62.9619,838.63,190.878,0.0,672.3610000000001,0.0,790.508,0.0,0.0,0.0,134.009,287.652,0.0,0.0,0.0,0.0,448.778,0.0,1222.91,1817.05,1443.75,114.35,1375.91,2285.74,986.252,844.216,2825.04,3835.36,2152.2,1321.01,1656.11,632.113,1395.31,97.1566,1467.14,1996.7,1712.87,851.06
ENSMUSG00000092819,119.116,0.0,0.0,0.0,157.946,0.0,732.7710000000001,0.0,0.0,346.17699999999996,300.008,862.066,1150.93,1478.35,651.821,451.13599999999997,1147.28,525.764,576.52,0.0,268.05400000000003,529.8340000000001,245.355,0.0,248.86,100.568,0.0,66.3182,0.0,385.974,1526.45,858.5219999999999,1517.66,598.72,1734.04,1957.28,702.0880000000001,1748.51,1276.18,516.1990000000001,2392.8,1106.45,1256.75,482.986,0.0,3069.97,2077.65,3288.73,2999.03
ENSMUSG00000065887,0.0,0.0,0.0,0.0,7.93e-10,5.26e-11,237.042,0.00619018,181.27599999999998,0.0,0.0,0.0,0.0,0.0,0.0,313.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7315,0.0,234.41099999999997,3046.66,0.0,732.6569999999999,179.72099999999998,3163.51,0.0335727,270.411,0.0,0.0,0.0,0.0,0.0,0.0,891.962,0.0,0.0,0.00087988,4384.77,4.67e-08
ENSMUSG00000077704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.119,0.0,1298.97,1060.04,657.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3743.43,0.0,0.0,0.0,2372.28,0.0,0.0,0.0,0.0,0.0,409.352,0.0,1647.87,0.0,1013.1,0.0,3658.48,774.7739999999999,1472.45,448.972,385.514,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000088254,145.893,77.7439,40.1776,152.21200000000002,0.0,0.0,0.0,96.8304,0.0,125.286,554.695,135.376,435.26,567.1619999999999,243.505,0.0,127.12799999999999,353.548,216.426,0.0,49.2132,178.92700000000002,0.0,0.0,0.0,112.001,131.283,125.056,79.0133,1671.11,1145.0,1420.83,2018.6,1527.01,1633.11,2035.92,1885.25,2566.23,814.416,1079.74,1624.83,1932.5,643.703,1510.8,217.018,2737.0,2356.32,2271.14,1389.2
ENSMUSG00000064841,0.0,292.366,154.43,379.144,251.793,0.0,1427.77,121.505,288.76599999999996,651.707,781.2280000000001,640.371,271.278,967.2660000000001,1479.61,961.078,362.67699999999996,486.531,992.845,255.269,367.871,717.02,66.7211,79.5569,408.49699999999996,416.976,362.535,427.51300000000003,795.535,1014.47,1358.85,1435.63,696.33,317.631,1777.58,2580.56,1598.94,1497.85,555.177,828.074,796.38,2437.59,1544.75,1925.67,349.976,3770.5,2718.66,1665.12,2311.46
ENSMUSG00000094411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2111.78,0.0,0.0,0.0,0.0,1531.49,0.0,0.0,0.0,0.0,0.0,0.0,953.2869999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940.62,0.0,0.0,0.0,0.0,0.0,0.0,1625.72,3060.05,0.0,3189.16,0.0,0.0,1366.45,1571.43,0.0
ENSMUSG00000065145,268.274,1097.95,1814.38,925.888,1246.04,639.979,3349.85,1273.05,396.665,2012.78,2129.72,2043.56,2659.85,2251.7,1716.79,2810.38,2641.54,1534.38,1863.02,351.32199999999995,1614.45,869.5,1112.71,1972.72,990.1610000000001,1203.0,757.2610000000001,410.59,309.36400000000003,1010.94,1319.01,1137.86,1275.87,1172.37,2268.93,1692.35,1689.8,2537.35,2907.1,2416.09,2044.73,2292.82,1351.91,1376.43,99.8457,2585.17,2291.08,2998.55,1691.98
ENSMUSG00000076128,362.204,0.0,0.00849573,401.216,0.0,0.0,0.0,0.0,0.0,2114.69,504.92699999999996,661.2239999999999,707.482,1030.61,1085.44,167.65400000000002,275.202,147.175,1536.71,380.49300000000005,1302.06,2144.28,756.773,1353.45,902.689,2053.98,444.504,1136.89,1378.08,2337.93,1699.9,1907.73,396.626,1827.3,1409.0,1532.48,2010.29,1063.92,1555.97,1515.92,2685.02,2007.92,1938.68,1690.76,923.1460000000001,1411.02,1056.87,701.05,2026.68
ENSMUSG00000076138,80.8543,1.1699999999999999e-15,3.05e-09,7.97e-57,0.0,0.0,1.21e-44,1.42e-20,300.05400000000003,4.25e-14,4.57e-23,1.8199999999999997e-61,2.22e-14,2.37e-20,5.51e-14,4.519999999999999e-32,2.4100000000000003e-11,0.341439,7.27e-17,4.349999999999999e-105,7.74e-06,250.857,1433.47,0.0518188,110.89,599.0880000000001,125.124,1.61e-18,9.579999999999998e-88,339.606,1294.7,1759.79,1.3e-13,971.179,435.80800000000005,747.1060000000001,5.37e-24,266.406,1258.64,1629.21,184.645,2596.09,2170.55,978.012,3.78966,1.41e-07,2019.89,2044.05,1383.68
ENSMUSG00000093355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.0319999999999,658.32,555.9019999999999,114.936,1395.38,1034.67,72.1789,281.92,534.429,287.252,214.21200000000002,158.643,151.04399999999998,0.0,166.205,152.30100000000002,0.0,382.749,3.01e-39,282.257,850.077,984.415,386.44800000000004,373.33,1369.55,1315.37,689.3580000000001,1470.97,1617.24,1344.72,1995.09,608.684,1553.94,585.499,880.447,487.81,1159.8,1922.82,3297.94,1899.01
ENSMUSG00000077563,0.0,0.0,53.2361,0.0,121.17200000000001,0.0,75.4512,0.0,0.0,1028.76,988.155,646.572,1001.98,1236.44,1209.62,804.512,861.572,1280.75,1062.05,1266.72,1298.87,1070.59,1333.14,1249.57,2139.34,1242.93,972.283,1343.52,1472.01,1190.82,1493.53,1848.03,1526.31,1555.18,1624.14,1625.08,1255.21,1593.25,2178.44,1345.19,2199.1,1903.53,2322.35,2004.39,1366.22,1084.83,1184.05,1741.38,1629.31
ENSMUSG00000065061,0.439283,138.57399999999998,206.24599999999998,134.70600000000002,0.000997864,129.04,774.465,88.1743,0.0,807.8889999999999,1004.19,818.823,870.785,1261.6,1168.76,0.0,919.735,945.207,543.998,904.039,1020.98,315.42400000000004,202.29,381.004,1022.88,292.105,350.833,218.77200000000002,68.9793,502.725,698.29,994.0,2028.68,1005.69,797.829,1409.06,950.846,1346.11,1268.76,2555.3,1259.4,1024.4,64.0269,340.50300000000004,0.0,1630.62,1992.23,911.768,2485.83
ENSMUSG00000080542,0.0,158.482,169.37400000000002,155.424,204.425,0.0,248.61700000000002,0.0,0.0,451.61,1174.03,1117.34,356.67900000000003,903.82,957.201,1274.57,493.149,1718.54,754.579,0.0,849.837,711.33,0.0,656.585,0.0,1786.61,524.127,0.0,0.0,1317.98,810.66,1486.1,700.455,515.5419999999999,600.0790000000001,1866.5,563.109,1793.4,1350.18,1884.09,391.64300000000003,972.403,889.4639999999999,1755.05,0.0,1285.85,221.37599999999998,1109.32,1640.31
ENSMUSG00000095712,0.0,0.0,365.93800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.805,0.0,0.0,0.0,2093.57,0.0,0.0,0.0,0.0,0.0,0.0,3034.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908.45,0.0,0.0
ENSMUSG00000064901,84.2735,262.677,359.00699999999995,254.08,227.197,0.0,1539.31,439.841,0.0,1253.24,1128.1,481.00699999999995,739.725,892.862,666.301,1018.03,1086.07,1145.37,1309.41,0.0,606.851,580.51,112.447,199.512,984.4939999999999,204.69400000000002,506.16900000000004,0.0,288.474,93.9783,1191.27,636.239,957.0219999999999,1008.91,920.523,976.206,898.513,1250.85,1861.14,2540.53,998.715,598.165,1055.34,1252.82,952.638,1669.89,1662.83,881.939,911.802
