,cell_type
GSM1377859,0
GSM1377860,0
GSM1377861,0
GSM1377862,0
GSM1377863,0
GSM1377864,0
GSM1377865,0
GSM1377866,0
GSM1377867,0
GSM1377868,1
GSM1377869,1
GSM1377870,1
GSM1377871,1
GSM1377872,1
GSM1377873,1
GSM1377874,1
GSM1377875,1
GSM1377876,1
GSM1377877,1
GSM1377878,1
GSM1377879,1
GSM1377880,1
GSM1377881,1
GSM1377882,1
GSM1377883,1
GSM1377884,1
GSM1377885,1
GSM1377886,1
GSM1377887,1
GSM1377888,2
GSM1377889,2
GSM1377890,2
GSM1377891,2
GSM1377892,2
GSM1377893,2
GSM1377894,2
GSM1377895,2
GSM1377896,2
GSM1377897,2
GSM1377898,2
GSM1377899,2
GSM1377900,2
GSM1377901,2
GSM1377902,2
GSM1377903,2
GSM1377904,2
GSM1377905,2
GSM1377906,2
GSM1377907,2
