,cell_type
2cell_1_A,0
2cell_1_B,0
2cell_2_A,0
2cell_2_B,0
2cell_3_A,0
2cell_3_B,0
ME_4cell_1_A,1
ME_4cell_1_B,1
ME_4cell_1_C,1
ME_4cell_1_D,1
ME_4cell_2_A,1
ME_4cell_2_B,1
ME_4cell_2_C,1
ME_4cell_2_D,1
ME_4cell_3_A,1
ME_4cell_3_B,1
ME_4cell_3_C,1
ME_4cell_3_D,1
EM_4cell_1_A,1
EM_4cell_1_B,1
EM_4cell_1_C,1
EM_4cell_1_D,1
EM_4cell_2_A,1
EM_4cell_2_B,1
EM_4cell_2_C,1
EM_4cell_2_D,1
EM_4cell_3_A,1
EM_4cell_3_B,1
EM_4cell_3_C,1
EM_4cell_3_D,1
MM_4cell_1_A,1
MM_4cell_1_B,1
MM_4cell_1_C,1
MM_4cell_1_D,1
MM_4cell_2_A,1
MM_4cell_2_B,1
MM_4cell_2_C,1
MM_4cell_2_D,1
MM_4cell_3_A,1
MM_4cell_3_B,1
MM_4cell_3_C,1
MM_4cell_3_D,1
EE_4cell_1_A,1
EE_4cell_1_B,1
EE_4cell_1_C,1
EE_4cell_1_D,1
8cell_1_A,2
8cell_1_B,2
8cell_1_C,2
8cell_1_D,2
8cell_1_E,2
8cell_1_F,2
8cell_1_G,2
8cell_1_H,2
8cell_2_A,2
8cell_2_B,2
8cell_2_C,2
8cell_2_D,2
8cell_2_E,2
8cell_2_F,2
8cell_2_G,2
8cell_2_H,2
16cell_A,3
16cell_B,3
16cell_C,3
16cell_D,3
16cell_E,3
16cell_F,3
32cell_A,4
32cell_B,4
32cell_C,4
32cell_D,4
32cell_E,4
32cell_F,4
8cell_3_A,2
8cell_4_A,2
8cell_3_B,2
8cell_4_B,2
8cell_3_C,2
8cell_4_C,2
8cell_3_D,2
8cell_4_D,2
8cell_3_E,2
8cell_4_E,2
8cell_3_F,2
8cell_4_F,2
8cell_3_G,2
8cell_4_G,2
8cell_3_H,2
8cell_4_H,2
2cell_4_A,0
2cell_4_B,0
2cell_5_A,0
2cell_5_B,0
2cell_6_A,0
2cell_6_B,0
2cell_7_A,0
2cell_7_B,0
2cell_8_A,0
2cell_8_B,0
ME_4cell_4_A,1
ME_4cell_4_B,1
ME_4cell_4_C,1
ME_4cell_4_D,1
ME_4cell_5_A,1
ME_4cell_5_B,1
ME_4cell_5_C,1
ME_4cell_5_D,1
EM_4cell_4_A,1
EM_4cell_4_B,1
EM_4cell_4_C,1
EM_4cell_4_D,1
EM_4cell_5_A,1
EM_4cell_5_B,1
EM_4cell_5_C,1
EM_4cell_5_D,1
EM_4cell_6_A,1
EM_4cell_6_B,1
EM_4cell_6_C,1
EM_4cell_6_D,1
ME_4cell_6_A,1
ME_4cell_6_B,1
ME_4cell_6_C,1
ME_4cell_6_D,1
